Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,NASDAQ Symbol,NextShares,Financial Status Clean,CQS Symbol Clean
Y,ACH,Aluminum Corporation of China Limited American Depositary Shares,N, ,N,100.0,N,ACH,N,Non-NASDAQ,ACH
Y,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,Q,N,100.0,N,ACHC,N,NASDAQ - Normal,Not Reported
Y,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Q,S,N,100.0,N,ACHV,N,NASDAQ - Deficient,Not Reported
Y,ACIA,"Acacia Communications, Inc. - Common Stock",Q,Q,N,100.0,N,ACIA,N,NASDAQ - Normal,Not Reported
Y,ACIO,ETF Series Solutions Aptus Collared Income Opportunity ETF,Z, ,Y,100.0,N,ACIO,N,Non-NASDAQ,ACIO
Y,ACIU,AC Immune SA - Common Stock,Q,G,N,100.0,N,ACIU,N,NASDAQ - Normal,Not Reported
Y,ACIW,"ACI Worldwide, Inc. - Common Stock",Q,Q,N,100.0,N,ACIW,N,NASDAQ - Normal,Not Reported
Y,ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,Q,N,100.0,N,ACLS,N,NASDAQ - Normal,Not Reported
Y,ACM,AECOM Common Stock,N, ,N,100.0,N,ACM,N,Non-NASDAQ,ACM
Y,ACMR,"ACM Research, Inc. - Class A Common Stock",Q,G,N,100.0,N,ACMR,N,NASDAQ - Normal,Not Reported
Y,ACN,Accenture plc Class A Ordinary Shares (Ireland),N, ,N,100.0,N,ACN,N,Non-NASDAQ,ACN
Y,ACNB,ACNB Corporation - Common Stock,Q,S,N,100.0,N,ACNB,N,NASDAQ - Normal,Not Reported
Y,ACOR,"Acorda Therapeutics, Inc. - Common Stock",Q,Q,N,100.0,N,ACOR,N,NASDAQ - Normal,Not Reported
Y,ACP,Aberdeen Income Credit Strategies Fund Common Shares,N, ,N,100.0,N,ACP,N,Non-NASDAQ,ACP
Y,ACRE,Ares Commercial Real Estate Corporation Common Stock,N, ,N,100.0,N,ACRE,N,Non-NASDAQ,ACRE
Y,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,Q,N,100.0,N,ACRS,N,NASDAQ - Normal,Not Reported
Y,ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock",Q,G,N,100.0,N,ACRX,N,NASDAQ - Normal,Not Reported
Y,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,P, ,Y,100.0,N,ACSG,N,Non-NASDAQ,ACSG
Y,ACSI,American Customer Satisfaction ETF,Z, ,Y,100.0,N,ACSI,N,Non-NASDAQ,ACSI
Y,ACST,"Acasti Pharma, Inc. - Class A Common Stock",Q,S,N,100.0,N,ACST,N,NASDAQ - Deficient,Not Reported
Y,ACT,AdvisorShares Vice ETF,Q,G,Y,100.0,N,ACT,N,NASDAQ - Normal,Not Reported
Y,ACTG,Acacia Research Corporation - Common Stock,Q,Q,N,100.0,N,ACTG,N,NASDAQ - Normal,Not Reported
